AS,AS_ID,SOURCE_TABLES
trapezius muscle | upper back muscle,UBERON:0008243,nervous-system
common penile artery | deep artery of penis,UBERON:0008320,male-reproductive-system
common penile artery | deep artery of penis,UBERON:0008321,male-reproductive-system
clitoris | dorsal artery of clitoris,UBERON:0008323,female-reproductive-system
mouth | zygomaticus major muscle,UBERON:0008593,dental-and-craniofacial-system | nervous-system
pharynx | stylopharyngeus muscle,UBERON:0008804,dental-and-craniofacial-system | nervous-system
epidermal-dermal junction | skin epidermis,UBERON:0008877,integumentary-system
fascia | pain receptor cell | superficial fascia,UBERON:0008982,fascia-system
capillary of brain | vasculature of brain,UBERON:0008998,nervous-system
trachea non-cartilage connective tissue,UBERON:0009644,fascia-system
kidney | renal tubule,UBERON:0009773,urinary-system
ureter | ureter smooth muscle,UBERON:0009919,urinary-system
anterior part of tongue | taste bud,UBERON:0010032,dental-and-craniofacial-system | nervous-system
posterior part of tongue | taste bud,UBERON:0010033,dental-and-craniofacial-system | nervous-system
arterial system | gastroduodenal artery,UBERON:0010132,﻿cardiovascular-system
capillary | hepatic portal system | ileocolic vein | inferior mesenteric vein | intrahepatic branch of portal vein | left colic vein | middle colic vein | portal vein | right colic vein | sigmoid vein | splenic vein | superior mesenteric vein,UBERON:0010194,﻿cardiovascular-system
connective tissue cell | granulation tissue | skin of body,UBERON:0010211,fascia-system | integumentary-system
bone tissue | cranial skeletal system | mandible,UBERON:0010323,dental-and-craniofacial-system
lymph node | lymph node T cell domain,UBERON:0010417,immune-and-lymphatic-system
middle pharyngeal constrictor | pharynx,UBERON:0010749,dental-and-craniofacial-system | nervous-system
mouth | orbicularis oris muscle,UBERON:0010933,dental-and-craniofacial-system | nervous-system
corpus spongiosum of penis | penis,UBERON:0011183,male-reproductive-system
deep fascia,UBERON:0011236,fascia-system
glossopharyngeal nerve | pharyngeal nerve plexus | vagus nerve,UBERON:0011325,dental-and-craniofacial-system | nervous-system
male bulbospongiosus muscle | penis | perineal muscle,UBERON:0011388,male-reproductive-system
pelvis nerve | pudendal nerve | sacral spinal cord,UBERON:0011390,female-reproductive-system | male-reproductive-system | nervous-system
jaw region | masseter muscle | pterygoid muscle | temporalis muscle | temporomandibular joint,UBERON:0011595,dental-and-craniofacial-system | nervous-system
fascia | myofibroblast cell | superficial fascia,UBERON:0011818,fascia-system
loose connective tissue,UBERON:0011825,fascia-system
collection of collagen fibrils,UBERON:0011860,fascia-system
myofibroblast cell | perimysium,UBERON:0011900,fascia-system
pilosebaceous unit | sebaceous gland | skin of body,UBERON:0011932,integumentary-system
infraspinatus tendon,UBERON:0012118,fascia-system
apocrine sweat gland | myoepithelium | skin apocrine gland,UBERON:0012177,integumentary-system
male urethra | male urethral meatus,UBERON:0012241,male-reproductive-system
mechanoreceptor | rectum | wall of urinary bladder,UBERON:0012449,nervous-system
Meissner's corpuscle | external ear | lower jaw region | middle ear | skin of forehead | skin of scalp | upper jaw region,UBERON:0012450,dental-and-craniofacial-system | nervous-system
Merkel nerve ending | external ear | lower jaw region | middle ear | skin of forehead | skin of scalp | upper jaw region,UBERON:0012456,dental-and-craniofacial-system | nervous-system
ampulla of fallopian tube | blastula | morula,UBERON:0012648,female-reproductive-system
arachnoid mater | arachnoid villus,UBERON:0013153,nervous-system
choroid plexus | left lateral ventricle,UBERON:0013161,nervous-system
choroid plexus | right lateral ventricle,UBERON:0013162,nervous-system
lung | lung endothelium,UBERON:0013479,pulmonary-system
superficial cervical fascia,UBERON:0013489,fascia-system
left gastric vein | portal venous system,UBERON:0014690,﻿cardiovascular-system
portal venous system | right gastric vein,UBERON:0014691,﻿cardiovascular-system
skeletal muscle tissue | vastus intermedius,UBERON:0014847,muscular-system
lymph node | periungual skin,UBERON:0014931,integumentary-system
placenta | uterine spiral artery,UBERON:0015171,female-reproductive-system
nucleus of dorsal thalamus | ventral lateral nucleus of thalamus,UBERON:0015233,nervous-system
arterial system | proper hepatic artery,UBERON:0015480,﻿cardiovascular-system
arterial system | left hepatic artery,UBERON:0015481,﻿cardiovascular-system
arterial system | right hepatic artery,UBERON:0015482,﻿cardiovascular-system
arterial system | sagittal sinus | superior sagittal sinus,UBERON:0015704,nervous-system | ﻿cardiovascular-system
ejaculatory duct | smooth muscle tissue layer of ejaculatory duct,UBERON:0015717,male-reproductive-system
arterial system | lung | pulmonary capillary | vascular system,UBERON:0016405,pulmonary-system | ﻿cardiovascular-system
Meissner's corpuscle | Merkel nerve ending | skin of forehead,UBERON:0016475,dental-and-craniofacial-system | nervous-system
hepatic portal system | intrahepatic branch of portal vein,UBERON:0016890,﻿cardiovascular-system
rectum | rectum smooth muscle tissue,UBERON:0018112,nervous-system
carotid body | chemoreceptor,UBERON:0018391,nervous-system
cardiac Purkinje fiber | cardiac muscle tissue of ventricle | heart,UBERON:0018649,﻿cardiovascular-system
pelvic splanchic nerve | sacral spinal cord,UBERON:0018675,nervous-system
autonomic nerve | hypogastric nerve,UBERON:0034728,male-reproductive-system
hypogastric nerve | posterior hypothalamic region | sympathetic nerve | sympathetic nervous system | thoracic spinal cord,UBERON:0034729,dental-and-craniofacial-system | male-reproductive-system | nervous-system
lumbosacral nerve plexus | nerve of clitoris | sacral nerve plexus,UBERON:0034986,female-reproductive-system | male-reproductive-system
dentition | dermis | nociceptor nerve ending | oropharynx,UBERON:0035017,dental-and-craniofacial-system | nervous-system
dermis | thermoreceptor,UBERON:0035018,nervous-system
arterial system | sigmoid artery,UBERON:0035180,﻿cardiovascular-system
skin of body | superficial lymphatic vessel,UBERON:0035198,integumentary-system
postcapillary venule,UBERON:0035428,integumentary-system
nerve of clitoris | sacral nerve plexus,UBERON:0035650,female-reproductive-system
arterial system | right gastroepiploic artery,UBERON:0035829,﻿cardiovascular-system
arterial system | left gastroepiploic artery,UBERON:0035830,﻿cardiovascular-system
hair follicle | vellus hair,UBERON:0037462,integumentary-system
hair follicle | telogen hair,UBERON:0037466,integumentary-system
anagen hair | hair follicle,UBERON:0037467,integumentary-system
hepatic portal system | sigmoid vein,UBERON:0039228,﻿cardiovascular-system
deep dorsal vein of penis | dorsal vein of penis,UBERON:0039422,male-reproductive-system
sebaceous gland | tail base gland,UBERON:3010202,integumentary-system
dorsal sympathetic chain,UBERON:3010770,integumentary-system
Meissner's corpuscle | Merkel nerve ending | skin of scalp,UBERON:8300000,dental-and-craniofacial-system | nervous-system
myenteric nerve plexus | myenteric nerve plexus of anorectum,UBERON:8410007,nervous-system
fallopian tube | fimbriae of fallopian tube,UBERON:8410010,female-reproductive-system
hepatic portal system | left colic vein,UBERON:8410017,﻿cardiovascular-system
hepatic portal system | right colic vein,UBERON:8410018,﻿cardiovascular-system
arterial system | left colic artery,UBERON:8410022,﻿cardiovascular-system
arterial system | right colic artery,UBERON:8410023,﻿cardiovascular-system
immune system | lymphoid nodule,UBERON:8410069,immune-and-lymphatic-system
hair of scalp,UBERON:8420000,integumentary-system
capillary of brain | vasculature of brain,UBERON:8480001,nervous-system
pulmonary venule | venous system,UBERON:8600024,﻿cardiovascular-system
arterial system | pulmonary arteriole,UBERON:8600077,﻿cardiovascular-system
arterial system | right gastric artery,UBERON:8920045,﻿cardiovascular-system
left gastroepiploic vein | portal venous system,UBERON:8920047,﻿cardiovascular-system
portal venous system | right gastroepiploic vein,UBERON:8920048,﻿cardiovascular-system
