Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003028,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Partition diffusion resistance,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,DM–θ·Vc model of DL: Diffusion Membrane conductance depends on surface area (A) and thickness (T),Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,membrane thickness,increases,X diffusion across Y,gas,alveolar-capillary membrane,mL·min⁻¹,DM–θ·Vc model of DL,Diffusion Membrane conductance depends on surface area (A) and thickness (T),Partition diffusion resistance,intra-organ,Intra-organ,Seconds–minutes,Diffusing Capacity of the Lung for Carbon Monoxide corrections for Hb,,,Alveolar Volume,Diffusion capacity/Alveolar volume,19916-6,,,,,,,O₂ breathing lowers θCO (competition),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-18,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003028,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Partition diffusion resistance,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,DM–θ·Vc model of DL:  θ·Vc: blood phase (reaction rate × capillary blood volume),Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,,does,X calculation of Y,diffusing capacity for carbon monoxide (DLCO) ,rate of CO transfer (V̇CO) divided by the alveolar partial pressure of CO (PACO),mL·min⁻¹·mmHg⁻¹,DM–θ·Vc model of DL, θ·Vc: blood phase (reaction rate × capillary blood volume),Partition diffusion resistance,,Intra-organ,Seconds–minutes,Diffusing Capacity of the Lung for Carbon Monoxide corrections for Hb,,,Alveolar Volume,Diffusion capacity/Alveolar volume,19916-6,,,,,,,O₂ breathing lowers θCO (competition),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-18,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003029,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Interpret DLCO clinically,,,,,,,,,,,,,,,,Adjust for Hb and VA; identify cause:  Correct for Hb concentration,Organ system,Lung,lung,UBERON:0002048,Alveolus–capillary,lung,UBERON:0002048,,does,X adjustion,hemoglobin,,mL·min⁻¹·mmHg⁻¹,Adjust for Hb and VA; identify cause,Correct for Hb concentration,Interpret DLCO clinically,,Circulatory,Minutes,Diffusing Capacity of the Lung for Carbon Monoxide,,,Alveolar Volume,Diffusion capacity/Alveolar volume,19916-6,,,,,,,“Transfer factor” concept (UK/EU),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-19,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003029,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,Interpret DLCO clinically,,,,,,,,,,,,,,,,Adjust for Hb and VA; identify cause: KCO = DLCO ÷ VA,Organ system,Lung,lung,UBERON:0002048,Alveolus–capillary,lung,UBERON:0002048,,does,X equivalence to Y,Transfer coefficient , DLCO normalization for alveolar volume,mL·min⁻¹·mmHg⁻¹·L⁻¹,Adjust for Hb and VA; identify cause,KCO = DLCO ÷ VA,Interpret DLCO clinically,,Circulatory,Minutes,Diffusing Capacity of the Lung for Carbon Monoxide,,,Alveolar Volume,Diffusion capacity/Alveolar volume,19916-6,,,,,,,“Transfer factor” concept (UK/EU),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-19,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003030,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,CO₂ diffusion,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,"High solubility, complex blood chemistry:  DCO₂ >> DO₂ (solubility-driven)",Organ system,Lung,lung,UBERON:0002048,Alveolus–capillary,lung,UBERON:0002048,,does,X dominance to Y,CO₂ diffusion,O₂ diffusion,,"High solubility, complex blood chemistry", DCO₂ >> DO₂ (solubility-driven),CO₂ diffusion,,Sytemic,Seconds,Arterial Partial Pressure of Carbon Dioxide,,,End-Tidal Carbon Dioxide,,,,,,,,,Chemistry modulates apparent resistance,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-20,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003030,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,CO₂ diffusion,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,"High solubility, complex blood chemistry:  Blood reactions buffer CO₂",Organ system,Lung,lung,UBERON:0002048,Alveolus–capillary,lung,UBERON:0002048,,does,X transport to Y,CO₂ buffering,CO₂ ,mL·dL⁻¹,"High solubility, complex blood chemistry", Blood reactions buffer CO₂,CO₂ diffusion,,Sytemic,Seconds,Arterial Partial Pressure of Carbon Dioxide,,,End-Tidal Carbon Dioxide,,,,,,,,,Chemistry modulates apparent resistance,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-20,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003030,Diffusion,lung field specification,GO:0060424,Alveolar–capillary gas transfer,gas transport,GO:0015669,CO₂ diffusion,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,"High solubility, complex blood chemistry:  Diffusion limitation uncommon",Organ system,Lung,lung,UBERON:0002048,Alveolus–capillary,lung,UBERON:0002048,,decreases,X diffusion,diffusion limitation,,,"High solubility, complex blood chemistry", Diffusion limitation uncommon,CO₂ diffusion,,Sytemic,Seconds,Arterial Partial Pressure of Carbon Dioxide,,,End-Tidal Carbon Dioxide,,,,,,,,,Chemistry modulates apparent resistance,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-20,3,,,,,,,,,
respiratory system process,respiratory system process,GO:0003031,Blood Flow and Metabolism,detection of renal blood flow ?? should this whole section be relabeled??? ,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Low-pressure pulmonary circuit,regulation of lung blood pressure,GO:0014916,,,,,,,,,,,,,,"Compare pulmonary vs systemic pressures:  Pulmonary artery ≈25/8 mmHg, mean ≈15",Organ,Lung,lung,UBERON:0002048,"Lung, circulatory",alveolus of lung,UBERON:0002299,,does,X description,pulmonary pressure,,mmHg,Compare pulmonary vs systemic pressures," Pulmonary artery ≈25/8 mmHg, mean ≈15",Low-pressure pulmonary circuit,,Intra-organ,Seconds–minutes,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,Pulmonary Capillary Wedge Pressure,,,,,,,,,Hydrostatic modifiers with posture,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-21,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003031,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Low-pressure pulmonary circuit,regulation of lung blood pressure,GO:0014916,,,,,,,,,,,,,,Compare pulmonary vs systemic pressures:  LA ≈5 → ΔP ≈10 mmHg,Organ,Lung,lung,UBERON:0002048,"Lung, circulatory",alveolus of lung,UBERON:0002299,,does,X gradient,pressure gradient,,mmHg,Compare pulmonary vs systemic pressures, LA ≈5 → ΔP ≈10 mmHg,Low-pressure pulmonary circuit,,Intra-organ,Seconds–minutes,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,Pulmonary Capillary Wedge Pressure,,,,,,,,,Hydrostatic modifiers with posture,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-21,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003031,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Low-pressure pulmonary circuit,regulation of lung blood pressure,GO:0014916,,,,,,,,,,,,,,Compare pulmonary vs systemic pressures:  Systemic mean ≈100 → ΔP ≈98 mmHg,Organ,Lung,lung,UBERON:0002048,"Lung, circulatory",alveolus of lung,UBERON:0002299,,does,X gradient,systemic pressure gradient,,mmHg,Compare pulmonary vs systemic pressures, Systemic mean ≈100 → ΔP ≈98 mmHg,Low-pressure pulmonary circuit,,Intra-organ,Seconds–minutes,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,Pulmonary Capillary Wedge Pressure,,,,,,,,,Hydrostatic modifiers with posture,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-21,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003032,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Pressures around vessels,regulation of lung blood pressure,GO:0060854,,,,,,,,,,,,,,"Alveolar vs extra-alveolar vessels:  Alveolar vessels exposed to Palv, compress if Palv↑",Organ,Lung,lung,UBERON:0002048,"Lung, circulatory",alveolus of lung,UBERON:0002299,alveolar pressure (Palv),increases,X process,alveolar vessel,,mmHg,Alveolar vs extra-alveolar vessels," Alveolar vessels exposed to Palv, compress if Palv↑",Pressures around vessels,intra-organ,Intra-organ,Breath-to-breath,Response during inspiration/PPV,,,,,,,,,,,,Palv vs pleural pressure mechanics,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-22,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003032,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Pressures around vessels,regulation of lung blood pressure,GO:0060854,,,,,,,,,,,,,,Alveolar vs extra-alveolar vessels:  Extra-alveolar pulled open by radial traction,Organ,Lung,lung,UBERON:0002048,"Lung, circulatory",alveolus of lung,UBERON:0002299,radial traction,does,X process,extra-alveolar vessel caliber,,mm,Alveolar vs extra-alveolar vessels, Extra-alveolar pulled open by radial traction,Pressures around vessels,intra-organ,Intra-organ,Breath-to-breath,Response during inspiration/PPV,,,,,,,,,,,,Palv vs pleural pressure mechanics,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-22,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003032,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Pressures around vessels,regulation of lung blood pressure,GO:0060854,,,,,,,,,,,,,,Alveolar vs extra-alveolar vessels:  Transmural pressure drives caliber,Organ,Lung,lung,UBERON:0002048,"Lung, circulatory",alveolus of lung,UBERON:0002299,,does,X across Y,pressure difference across the vessel wall ,vessel diameter,mm,Alveolar vs extra-alveolar vessels, Transmural pressure drives caliber,Pressures around vessels,,Intra-organ,Breath-to-breath,Response during inspiration/PPV,,,,,,,,,,,,Palv vs pleural pressure mechanics,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-22,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003033,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Define & compute PVR,regulation of lung blood pressure,,,,,,,,,,,,,,,Pulmonary vascular resistance:  PVR = (Ppa − Pla)/Q̇,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,does,X equivalence to Y,pulmonary vascular resistance,mean pulmonary artery pressure minus mean left atrial pressure,,Pulmonary vascular resistance, PVR = (Ppa − Pla)/Q̇,Define & compute PVR,,Circulatory,Minutes,Cardiac Output,Cardiac output alteration [CCC],28149-3,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,Electrical analogy (ΔP/Flow),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-23,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003033,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Define & compute PVR,regulation of lung blood pressure,,,,,,,,,,,,,,,Pulmonary vascular resistance:  Normal Q̇≈6 L·min⁻¹ → PVR≈1.7 mmHg·L⁻¹·min,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,does,X reference,pulmonary resistance,,,Pulmonary vascular resistance, Normal Q̇≈6 L·min⁻¹ → PVR≈1.7 mmHg·L⁻¹·min,Define & compute PVR,,Circulatory,Minutes,Cardiac Output,Cardiac output alteration [CCC],28149-3,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,Electrical analogy (ΔP/Flow),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-23,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003033,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Define & compute PVR,regulation of lung blood pressure,,,,,,,,,,,,,,,Pulmonary vascular resistance:  Depends on flow & vessel state,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,does,X dependence,vessel resistance,,mmHg·min·L⁻¹,Pulmonary vascular resistance, Depends on flow & vessel state,Define & compute PVR,,Circulatory,Minutes,Cardiac Output,Cardiac output alteration [CCC],28149-3,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,Electrical analogy (ΔP/Flow),,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-23,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003034,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Recruitment & distension,phagosome-lysosome docking ???,GO:0090384,,,,,,,,,,,,,,Why PVR falls as pressure rises:  Low pressures: open silent channels (recruitment),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,decreases,X process,vascular resistance,,mmHg·min·L⁻¹,Why PVR falls as pressure rises, Low pressures: open silent channels (recruitment),Recruitment & distension,,Sytemic,Seconds–minutes,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,,,,Basis for exercise PVR fall,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-24,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003034,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Recruitment & distension,phagosome-lysosome docking ???,GO:0090384,,,,,,,,,,,,,,Why PVR falls as pressure rises:  Higher: capillary distension (flattened→round),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,decreases,X process,vascular resistance,,mmHg·min·L⁻¹,Why PVR falls as pressure rises, Higher: capillary distension (flattened→round),Recruitment & distension,,Sytemic,Seconds–minutes,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,,,,Basis for exercise PVR fall,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-24,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003034,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Recruitment & distension,phagosome-lysosome docking  ???,GO:0090384,,,,,,,,,,,,,,Why PVR falls as pressure rises:  Both reduce network resistance,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,decreases,X process,network resistance,,mmHg·min·L⁻¹,Why PVR falls as pressure rises, Both reduce network resistance,Recruitment & distension,,Sytemic,Seconds–minutes,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,,,,Basis for exercise PVR fall,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-24,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003035,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Lung volume–PVR U curve,lung field specification,GO:0060424,,,,,,,,,,,,,,Volume dependence of resistance:  Low LV: extra-alveolar narrow → R↑,Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,increases,X process,extra-alveolar resistance,,mmHg·min·L⁻¹,Volume dependence of resistance, Low LV: extra-alveolar narrow → R↑,Lung volume–PVR U curve,,Intra-organ,Seconds–minutes,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,,,,Radial traction vs Palv effects,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-25,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003035,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Lung volume–PVR U curve,lung field specification,GO:0060424,,,,,,,,,,,,,,Volume dependence of resistance:  High LV: capillaries stretched → caliber↓ → R↑,Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,increases,X process,capillary resistance,,mmHg·min·L⁻¹,Volume dependence of resistance, High LV: capillaries stretched → caliber↓ → R↑,Lung volume–PVR U curve,,Intra-organ,Seconds–minutes,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,,,,Radial traction vs Palv effects,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-25,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003035,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Lung volume–PVR U curve,lung field specification,GO:0060424,,,,,,,,,,,,,,Volume dependence of resistance:  Minimum near FRC,Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,does,X process,vascular resistance,,mmHg·min·L⁻¹,Volume dependence of resistance, Minimum near FRC,Lung volume–PVR U curve,,Intra-organ,Seconds–minutes,Pulmonary Vascular Resistance,Pulmonary vascular Resistance,8828-6,,,,,,,,,,Radial traction vs Palv effects,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-25,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003036,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Measure total pulmonary blood flow,pulmonary blood vessel remodeling,GO:0101010,,,,,,,,,,,,,,Fick principle for Q̇:  V̇O₂ = Q̇ × (CaO₂ − Cv̄O₂),Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,does,X equivalence to Y,oxygen uptake,cardiac output × arteriovenous O₂ difference,mL·min⁻¹,Fick principle for Q̇, V̇O₂ = Q̇ × (CaO₂ − Cv̄O₂),Measure total pulmonary blood flow,,Intra-organ,Minutes,Oxygen Consumption Rate,,,Arterial Oxygen Content,,,,,,,,,Cardiopulmonary coupling,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-26,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003036,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Measure total pulmonary blood flow,pulmonary blood vessel remodeling,GO:0101010,,,,,,,,,,,,,,Fick principle for Q̇:  Q̇ = V̇O₂ /(CaO₂ − Cv̄O₂),Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,does,X equivalence to Y,cardiac output,oxygen uptake / arteriovenous O₂ difference,L·min⁻¹,Fick principle for Q̇, Q̇ = V̇O₂ /(CaO₂ − Cv̄O₂),Measure total pulmonary blood flow,,Intra-organ,Minutes,Oxygen Consumption Rate,,,Arterial Oxygen Content,,,,,,,,,Cardiopulmonary coupling,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-26,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003036,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Measure total pulmonary blood flow,pulmonary blood vessel remodeling,GO:0101010,,,,,,,,,,,,,,Fick principle for Q̇:  Also dye/thermal dilution,Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,does,X measurement,cardiac output,,L·min⁻¹,Fick principle for Q̇, Also dye/thermal dilution,Measure total pulmonary blood flow,,Intra-organ,Minutes,Oxygen Consumption Rate,,,Arterial Oxygen Content,,,,,,,,,Cardiopulmonary coupling,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-26,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003037,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Gravity & regional perfusion,,,,,,,,,,,,,,,,"West zones (1–3, ±4):  Zone 1: Ppa<Palv → no flow (dead space)",Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,decreases,X perfusion,gas,,L·min⁻¹,"West zones (1–3, ±4)", Zone 1: Ppa<Palv → no flow (dead space),Gravity & regional perfusion,,Intra-organ,Seconds–minutes,133Xe perfusion imaging,,,,,,,,,,,,Hydrostatic column,,, posture,,, exercise,,,,,,West’s Respiratory Physiology,978-1-9751-3918-27,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003037,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Gravity & regional perfusion,,,,,,,,,,,,,,,,"West zones (1–3, ±4):  Zone 2: flow ∝ Ppa−Palv (Starling resistor)",Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,increases,X formation,perfusion gradient,,L·min⁻¹·(distance)⁻¹,"West zones (1–3, ±4)", Zone 2: flow ∝ Ppa−Palv (Starling resistor),Gravity & regional perfusion,,Intra-organ,Seconds–minutes,133Xe perfusion imaging,,,,,,,,,,,,Hydrostatic column,,, posture,,, exercise,,,,,,West’s Respiratory Physiology,978-1-9751-3918-27,4,,,,,,,,,
