respiratory system,respiratory system process,GO:0003016,ventilation,respiratory gaseous exchange by respiratory system,GO:0007585,alveolar stability,,,surfactant production,,,,,,,,,,,,,,,,Active alveolar sodium and fluid clearance keeps the gas exchange surface free of liquid,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063,,,,does,X uptake,alveolar fluid,,,,,,,,,,ENaC-driven sodium absorption with osmotic water flux keeps the alveolar surface thin and dry,minutes-hours,,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,forced vital capacity,Forced vital capacity [Volume] Respiratory system,LOINC:19870-5,tidal volume,Tidal volume.inspired,LOINC:76221-1,,,,alveolar fluid clearance,,,lung compliance,,,fetal lung maturation,,,,,,West's Respiratory Physiology: The Essentials,,7,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,alveolar-capillary diffusion,gas transport,GO:0015669,oxygen transfer,oxygen transport,GO:0015671,,,,,,,,,,,,,"transfer is normally perfusion-limited: equilibration is complete in about 0.25 s of the 0.75 s capillary transit, leaving a threefold reserve",Oxygen diffuses down its partial pressure gradient across the thin alveolar-capillary barrier,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062,,,,does,transport of X from Y to Z,oxygen,,,alveolar gas,,,pulmonary capillary blood,,,"[80, 100]",units = mmHg arterial PO2; barrier 0.2-0.3 um thick over 50-100 m2; about 250 mL O2 taken up per minute at rest,milliseconds-seconds,,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,hemoglobin oxygen binding,oxygen binding,GO:0019825,,,,West's Respiratory Physiology: The Essentials,,3,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,alveolar-capillary diffusion,gas transport,GO:0015669,oxygen transfer,oxygen transport,GO:0015671,,,,,,,,,,,,,,,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062,alveolar oxygen partial pressure,,,increases,transport of X from Y to Z,oxygen,,,alveolar gas,,,pulmonary capillary blood,,,,mixed venous PO2 about 40 mmHg against alveolar 100 mmHg gives the driving gradient,seconds,intra-organ,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,hemoglobin oxygen binding,oxygen binding,GO:0019825,,,,West's Respiratory Physiology: The Essentials,,3,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,alveolar-capillary diffusion,gas transport,GO:0015669,oxygen transfer,oxygen transport,GO:0015671,,,,,,,,,,,,,,,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062,alveolar-capillary membrane thickness,,,decreases,transport of X from Y to Z,oxygen,,,alveolar gas,,,pulmonary capillary blood,,,,thickening from fibrosis or oedema slows equilibration; at rest the transit-time reserve usually still prevents hypoxaemia,seconds,intra-organ,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,hemoglobin oxygen binding,oxygen binding,GO:0019825,,,,West's Respiratory Physiology: The Essentials,,3,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,alveolar-capillary diffusion,gas transport,GO:0015669,oxygen transfer,oxygen transport,GO:0015671,,,,,,,,,,,,,,,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062,exercise,,,decreases,transport of X from Y to Z,oxygen,,,alveolar gas,,,pulmonary capillary blood,,,,"capillary transit time falls toward 0.25 s, abolishing the diffusion reserve; unmasks diffusion limitation in disease or at altitude",seconds,systemic,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,hemoglobin oxygen binding,oxygen binding,GO:0019825,,,,West's Respiratory Physiology: The Essentials,,3,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,alveolar-capillary diffusion,gas transport,GO:0015669,oxygen transfer,oxygen transport,GO:0015671,,,,,,,,,,,,,,Carbon dioxide diffuses from capillary blood into alveolar gas for elimination,cell,alveolus,alveolus of lung,UBERON:0002299,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062,,,,does,transport of X from Y to Z,carbon dioxide,,,pulmonary capillary blood,,,alveolar gas,,,,"CO2 is about 20 times more soluble than O2, so its transfer is essentially never diffusion-limited",milliseconds-seconds,,circulatory,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,arterial pH,pH of Arterial blood,LOINC:2744-1,plasma bicarbonate,Bicarbonate [Moles/volume] in Serum or Plasma,LOINC:1963-8,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,hemoglobin oxygen binding,oxygen binding,GO:0019825,,,,West's Respiratory Physiology: The Essentials,,3,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,alveolar-capillary diffusion,gas transport,GO:0015669,oxygen transfer,oxygen transport,GO:0015671,,,,,,,,,,,,,total diffusing capacity has a membrane component and a blood-phase component in series; anaemia lowers the measured value independently of the lung,,organ,lung,lung,UBERON:0002048,lung,,,pulmonary capillary blood volume,,,increases,transport of X from Y to Z,oxygen,,,alveolar gas,,,pulmonary capillary blood,,,,recruitment in exercise raises the blood-phase component of diffusing capacity; DLCO rises with cardiac output,seconds-minutes,circulatory,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,hemoglobin oxygen binding,oxygen binding,GO:0019825,,,,West's Respiratory Physiology: The Essentials,,3,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,ventilation-perfusion matching,regulation of respiratory gaseous exchange,GO:0043576,regional matching and its failure,,,,,,,,,,,,,,,"ventilation-perfusion inequality is the commonest cause of hypoxaemia; the overall V/Q ratio is about 0.8, falling from roughly 3 at the apex to 0.6 at the base",Matching of regional ventilation to regional perfusion determines overall gas exchange efficiency,organ,lung,lung,UBERON:0002048,lung,,,,,,does,transport of X from Y to Z,oxygen,,,alveolar gas,,,systemic arterial blood,,,"[5, 15]","units = mmHg alveolar-arterial oxygen difference in a young adult, rising with age",seconds,,systemic,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,hypoxic pulmonary vasoconstriction,vasoconstriction,GO:0042310,brainstem respiratory centres,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,5,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,ventilation-perfusion matching,regulation of respiratory gaseous exchange,GO:0043576,regional matching and its failure,,,,,,,,,,,,,,,,,organ,lung,lung,UBERON:0002048,lung,,,ventilation-perfusion inequality,,,decreases,transport of X from Y to Z,oxygen,,,alveolar gas,,,systemic arterial blood,,,,high V/Q units cannot compensate for low ones because the oxyhaemoglobin curve is flat at high PO2,minutes,intra-organ,systemic,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,hypoxic pulmonary vasoconstriction,vasoconstriction,GO:0042310,brainstem respiratory centres,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,5,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,ventilation-perfusion matching,regulation of respiratory gaseous exchange,GO:0043576,regional matching and its failure,,,,,,,,,,,,,,,"true shunt is distinguished from V/Q inequality by its failure to correct with 100% oxygen, since shunted blood never contacts alveolar gas",A small fraction of cardiac output bypasses ventilated alveoli and enters systemic blood desaturated,organ,lung,lung,UBERON:0002048,lung,,,,,,does,transport of X from Y to Z,venous blood,,,bronchial and thebesian circulation,,,systemic arterial blood,,,"[2, 3]",units = percent of cardiac output as normal physiological shunt,seconds,,systemic,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,hypoxic pulmonary vasoconstriction,vasoconstriction,GO:0042310,brainstem respiratory centres,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,5,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,gas exchange,gas transport,GO:0015669,ventilation-perfusion matching,regulation of respiratory gaseous exchange,GO:0043576,regional matching and its failure,,,,,,,,,,,,,,,,,organ,lung,lung,UBERON:0002048,lung,,,alveolar ventilation,,,decreases,transport of X from Y to Z,oxygen,,,alveolar gas,,,systemic arterial blood,,,,"hypoventilation raises PaCO2 and lowers PaO2 with a normal A-a gradient, and corrects readily with supplemental oxygen",minutes,systemic,systemic,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial PCO2,Carbon dioxide [Partial pressure] in Arterial blood,LOINC:2019-8,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,hypoxic pulmonary vasoconstriction,vasoconstriction,GO:0042310,brainstem respiratory centres,,,cardiovascular system,blood circulation,GO:0008015,,,,West's Respiratory Physiology: The Essentials,,5,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary perfusion,blood circulation,GO:0008015,pulmonary vascular tone and resistance,,,,,,,,,,,,,,,"pulmonary vascular resistance is roughly one tenth of systemic, reflecting thin-walled, highly distensible vessels","The pulmonary circulation carries the whole cardiac output through a low-pressure, low-resistance bed",organ,lung,lung,UBERON:0002048,lung,,,,,,does,transport of X from Y to Z,blood,,,pulmonary artery,,,pulmonary vein,,,"[4, 6]","units = L/min; the entire cardiac output passes through at a mean pulmonary artery pressure of only about 15 mmHg (25/8), with left atrial pressure 5-12",seconds,,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,right ventricular afterload,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary perfusion,blood circulation,GO:0008015,pulmonary vascular tone and resistance,,,,,,,,,,,,,,,this passive fall in resistance is why pulmonary artery pressure barely rises during exercise despite a several-fold increase in flow,,organ,lung vasculature,lung vasculature,UBERON:0000102,lung vasculature,,,pulmonary arterial pressure,,,increases,transport of X from Y to Z,blood,,,pulmonary artery,,,pulmonary vein,,,,recruitment of unperfused capillaries and distension of perfused ones lower resistance as pressure or flow rises,seconds-minutes,circulatory,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,right ventricular afterload,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary perfusion,blood circulation,GO:0008015,pulmonary vascular tone and resistance,,,,,,,,,,,,,,,,,organ,lung vasculature,lung vasculature,UBERON:0000102,lung vasculature,,,alveolar pressure,,,decreases,transport of X from Y to Z,blood,,,pulmonary artery,,,pulmonary vein,,,,"where alveolar pressure exceeds arterial pressure, capillaries collapse and flow ceases, creating alveolar dead space",seconds,intra-organ,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,right ventricular afterload,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary perfusion,blood circulation,GO:0008015,pulmonary vascular tone and resistance,,,,,,,,,,,,,,,,,organ,lung vasculature,lung vasculature,UBERON:0000102,lung vasculature,,,gravity,,,increases,transport of X from Y to Z,blood,,,pulmonary artery,,,dependent lung regions,,,,"the hydrostatic column creates a steep apex-to-base perfusion gradient, steeper than the ventilation gradient",seconds,systemic,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,right ventricular afterload,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary perfusion,blood circulation,GO:0008015,pulmonary vascular tone and resistance,,,,,,,,,,,,,,,,,organ,lung vasculature,lung vasculature,UBERON:0000102,lung vasculature,,,lung volume,,,decreases,transport of X from Y to Z,blood,,,pulmonary artery,,,pulmonary vein,,,,"resistance is minimal near FRC and rises at both extremes, as extra-alveolar vessels narrow at low volume and capillaries are stretched at high volume",seconds,intra-organ,circulatory,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,hemoglobin,Hemoglobin [Mass/volume] in Blood,LOINC:718-7,,,,cardiovascular system,blood circulation,GO:0008015,ventilation-perfusion matching,,,right ventricular afterload,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,"hypoxic pulmonary vasoconstriction is the opposite of the systemic response to hypoxia, and diverts blood away from poorly ventilated lung",Pulmonary arteriolar smooth muscle sets local vascular tone and regional blood flow distribution,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,,,,does,contraction,,,,,,,,,,,resting pulmonary arteriolar tone is low compared with systemic arterioles,seconds-minutes,,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,alveolar oxygen partial pressure,,,decreases,contraction X,force,,,,,,,,,,response is steep below an alveolar PO2 of about 70 mmHg; when global rather than regional it produces pulmonary hypertension,seconds-minutes,intra-organ,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,endothelin 1,,,increases,contraction X,force,,,,,,,,,,,minutes-hours,paracrine,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,thromboxane A2,,,increases,contraction X,force,,,,,,,,,,,minutes,paracrine,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,serotonin,,,increases,contraction X,force,,,,,,,,,,,minutes,circulatory,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,hydrogen ion,,,increases,contraction X,force,,,,,,,,,,acidaemia potentiates hypoxic vasoconstriction; alkalosis blunts it,minutes,circulatory,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,nitric oxide,,,decreases,contraction X,force,,,,,,,,,,"the basis of inhaled nitric oxide therapy, which dilates only ventilated units and so improves matching",seconds-minutes,paracrine,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,,cell,lung vasculature,lung vasculature,UBERON:0000102,smooth muscle cell,smooth muscle cell,CL:0000192,prostacyclin,,,decreases,contraction X,force,,,,,,,,,,,minutes,paracrine,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,Pulmonary endothelium releases nitric oxide to maintain vasodilator tone,cell,lung vasculature,lung vasculature,UBERON:0000102,lung endothelial cell,lung endothelial cell,CL:1001567,,,,does,X secretion,nitric oxide,,,,,,,,,,shear-stress and agonist dependent; tonically restrains pulmonary vascular tone,seconds-minutes,,paracrine,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,pulmonary vasomotor control,vasoconstriction,GO:0042310,hypoxic pulmonary vasoconstriction and mediator tone,,,,,,,,,,,,,,,,Pulmonary endothelium releases endothelin 1 as a long-acting vasoconstrictor,cell,lung vasculature,lung vasculature,UBERON:0000102,lung endothelial cell,lung endothelial cell,CL:1001567,,,,does,X secretion,endothelin 1,,,,,,,,,,"upregulated in pulmonary hypertension, and the target of endothelin receptor antagonists",minutes-hours,,paracrine,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,ventilation-perfusion matching,,,right ventricular afterload,,,fetal circulation,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,alveolar fluid balance,,,transcapillary filtration and clearance,,,,,,,,,,,,,,,"the interstitium around vessels and bronchi acts as a sump, so interstitial oedema precedes alveolar flooding and gas exchange failure",Starling forces across the pulmonary capillary govern net fluid movement into the interstitium,cell,pulmonary capillary,pulmonary capillary,UBERON:0016405,lung endothelial cell,lung endothelial cell,CL:1001567,,,,does,transport of X from Y to Z,fluid,,,pulmonary capillary,,,pulmonary interstitium,,,,net filtration is small and normally balanced by lymphatic removal; capillary hydrostatic pressure is only about 10 mmHg against a plasma oncotic pressure near 25,minutes-hours,,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,cardiovascular system,blood circulation,GO:0008015,lymphatic drainage,,,alveolar fluid clearance,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,alveolar fluid balance,,,transcapillary filtration and clearance,,,,,,,,,,,,,,,,,cell,pulmonary capillary,pulmonary capillary,UBERON:0016405,lung endothelial cell,lung endothelial cell,CL:1001567,pulmonary capillary hydrostatic pressure,,,increases,transport of X from Y to Z,fluid,,,pulmonary capillary,,,pulmonary interstitium,,,,cardiogenic oedema appears as left atrial pressure rises above roughly 20-25 mmHg,minutes-hours,circulatory,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,cardiovascular system,blood circulation,GO:0008015,lymphatic drainage,,,alveolar fluid clearance,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,alveolar fluid balance,,,transcapillary filtration and clearance,,,,,,,,,,,,,,,,,cell,pulmonary capillary,pulmonary capillary,UBERON:0016405,lung endothelial cell,lung endothelial cell,CL:1001567,endothelial permeability,,,increases,transport of X from Y to Z,fluid,,,pulmonary capillary,,,pulmonary interstitium,,,,"inflammatory injury raises permeability, producing oedema at normal filling pressures",hours,paracrine,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,cardiovascular system,blood circulation,GO:0008015,lymphatic drainage,,,alveolar fluid clearance,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
respiratory system,respiratory system process,GO:0003016,pulmonary circulation,blood circulation,GO:0008015,alveolar fluid balance,,,transcapillary filtration and clearance,,,,,,,,,,,,,,,,Pulmonary lymphatics clear filtered interstitial fluid and delay oedema formation,tissue,lung,lung,UBERON:0002048,lymphatic endothelial cell,,,,,,does,transport of X from Y to Z,interstitial fluid,,,pulmonary interstitium,,,thoracic duct,,,,"lymph flow can increase up to tenfold before interstitial fluid accumulates, which buffers slowly rising filling pressures",minutes-hours,,intra-organ,arterial PO2,Oxygen [Partial pressure] in Arterial blood,LOINC:2703-7,arterial oxygen saturation,Oxygen saturation in Arterial blood,LOINC:2708-6,,,,,,,cardiovascular system,blood circulation,GO:0008015,lymphatic drainage,,,alveolar fluid clearance,,,,,,West's Respiratory Physiology: The Essentials,,4,,,,,,,,,,,,,,,,,,,,,,,
